electricity_load_kwh,heat_load_kwh,pv_generation_kwh,grid_import_kwh,grid_export_kwh,pv_to_building_kwh,pv_self_consumed_kwh,pv_exported_to_grid_kwh,pv_curtailed_kwh,timestamp
14.737987137745977,112.14771913064249,-0.0,14.7379871377,0.0,-0.0,-0.0,0.0,0.0,2025-10-27 01:00:00
13.9628411940966,123.3132314306186,-0.0,13.9628411941,0.0,-0.0,-0.0,0.0,0.0,2025-10-27 02:00:00
13.69421838998211,165.3481012658228,-0.0,13.69421839,0.0,-0.0,-0.0,0.0,0.0,2025-10-27 03:00:00
14.584274584078711,245.4770718891808,-0.0,14.584274584100001,0.0,-0.0,-0.0,0.0,0.0,2025-10-27 04:00:00
18.430804910554563,251.55242417005013,-0.0,18.4308049106,0.0,-0.0,-0.0,0.0,0.0,2025-10-27 05:00:00
22.47671737030411,242.52149510389305,-0.0,22.476717370299998,0.0,-0.0,-0.0,0.0,0.0,2025-10-27 06:00:00
23.75481961985689,236.44614282302365,-0.0,23.7548196199,0.0,-0.0,-0.0,0.0,0.0,2025-10-27 07:00:00
24.45896523703041,223.31024599952235,11.2216450824,13.237320154599997,0.0,11.2216450824,11.2216450824,0.0,0.0,2025-10-27 08:00:00
24.84685898479428,215.26450919512777,28.4952352746,-0.0,3.4659574753099984,24.8468589848,24.84685898479428,3.4659574753099984,5.72111802377151e-12,2025-10-27 09:00:00
25.61083658318425,207.5471698113208,41.0877842131,-0.0,14.703100248404999,25.6108365832,25.61083658318425,14.703100248404999,1.575128916186941e-11,2025-10-27 10:00:00
26.564298971377458,203.60640076427035,48.5630543546,-0.0,20.898817614039995,26.5642989714,26.564298971377458,20.898817614039995,2.254099684684263e-11,2025-10-27 11:00:00
26.88134484794276,200.8150226892763,49.898615179699995,-0.0,21.866406815209995,26.881344847900003,26.881344847900003,21.866406815209995,0.0,2025-10-27 12:00:00
27.946291006261177,200.6508239789825,46.9543774832,-0.0,18.057682153054998,27.9462910063,27.946291006261177,18.057682153054998,3.882311139236094e-11,2025-10-27 13:00:00
29.467851346153846,206.5619775495581,39.2727453376,-0.0,9.314649291830003,29.4678513462,29.467851346153846,9.314649291830003,4.615405280183893e-11,2025-10-27 14:00:00
33.8234363372093,217.5632911392405,28.2948763214,5.528560015800002,0.0,28.2948763214,28.2948763214,0.0,0.0,2025-10-27 15:00:00
42.60891240161001,228.5646047289229,11.2277853705,31.381127031100007,0.0,11.2277853705,11.2277853705,0.0,0.0,2025-10-27 16:00:00
44.84322182468695,238.7449247671364,-0.0,44.843221824699995,0.0,-0.0,-0.0,0.0,0.0,2025-10-27 17:00:00
39.33826528175313,245.64127059947452,-0.0,39.3382652818,0.0,-0.0,-0.0,0.0,0.0,2025-10-27 18:00:00
34.330675263864045,243.5066873656556,-0.0,34.3306752639,0.0,-0.0,-0.0,0.0,0.0,2025-10-27 19:00:00
31.233894458855097,222.65345115834725,-0.0,31.2338944589,0.0,-0.0,-0.0,0.0,0.0,2025-10-27 20:00:00
27.77827318872988,188.00752328636256,-0.0,27.7782731887,0.0,-0.0,-0.0,0.0,0.0,2025-10-27 21:00:00
23.884374432021463,138.09111535705756,-0.0,23.884374432,0.0,-0.0,-0.0,0.0,0.0,2025-10-27 22:00:00
20.418737012522364,101.6390016718414,-0.0,20.4187370125,0.0,-0.0,-0.0,0.0,0.0,2025-10-27 23:00:00
17.658205250447228,111.49092428946742,-0.0,17.658205250399998,0.0,-0.0,-0.0,0.0,0.0,2025-10-28 00:00:00
15.870276024150272,105.90816813947932,-0.0,15.870276024199999,0.0,-0.0,-0.0,0.0,0.0,2025-10-28 01:00:00
14.872332262969588,116.58108430857416,-0.0,14.872332263,0.0,-0.0,-0.0,0.0,0.0,2025-10-28 02:00:00
14.000806690518784,156.4813709099594,-0.0,14.000806690500001,0.0,-0.0,-0.0,0.0,0.0,2025-10-28 03:00:00
13.87738373881932,232.1769763553857,-0.0,13.8773837388,0.0,-0.0,-0.0,0.0,0.0,2025-10-28 04:00:00
15.039397271914131,238.0881299259613,-0.0,15.0393972719,0.0,-0.0,-0.0,0.0,0.0,2025-10-28 05:00:00
18.629643931127013,229.54979699068545,-0.0,18.629643931100002,0.0,-0.0,-0.0,0.0,0.0,2025-10-28 06:00:00
24.71907858676208,223.63864342010987,-0.0,24.7190785868,0.0,-0.0,-0.0,0.0,0.0,2025-10-28 07:00:00
29.52663252236136,211.32374014807732,7.78915529776,21.73747722464,0.0,7.78915529776,7.78915529776,0.0,0.0,2025-10-28 08:00:00
31.759280286225398,203.60640076427035,20.5693540717,11.1899262145,0.0,20.5693540717,20.5693540717,0.0,0.0,2025-10-28 09:00:00
33.17871418604651,196.38165751134463,31.0050559461,2.1736582398999977,0.0,31.0050559461,31.0050559461,0.0,0.0,2025-10-28 10:00:00
33.626670885509846,192.605087174588,36.8720271229,-0.0,3.08308842553,33.6266708855,33.6266708855,3.08308842553,0.0,2025-10-28 11:00:00
33.35038797853309,189.813709099594,37.6718697745,-0.0,4.105407706200004,33.350387978499995,33.350387978499995,4.105407706200004,0.0,2025-10-28 12:00:00
33.18705008050089,189.6495103893002,37.7066407657,-0.0,4.293611150940005,33.1870500805,33.1870500805,4.293611150940005,0.0,2025-10-28 13:00:00
33.351031596601075,195.39646524958204,33.4425649723,-0.0,0.08695670691499686,33.3510315966,33.3510315966,0.08695670691499686,0.0,2025-10-28 14:00:00
36.21424442307692,205.7409839980893,23.8624916805,12.351752742599999,0.0,23.8624916805,23.8624916805,0.0,0.0,2025-10-28 15:00:00
43.66348097495528,216.08550274659663,8.9821085556,34.681372419400006,0.0,8.9821085556,8.9821085556,0.0,0.0,2025-10-28 16:00:00
45.73536191860466,225.7732266539288,-0.0,45.7353619186,0.0,-0.0,-0.0,0.0,0.0,2025-10-28 17:00:00
39.595383837209305,232.3411750656795,-0.0,39.5953838372,0.0,-0.0,-0.0,0.0,0.0,2025-10-28 18:00:00
34.475504973166366,230.3707905421543,-0.0,34.475504973199996,0.0,-0.0,-0.0,0.0,0.0,2025-10-28 19:00:00
31.24666705277281,210.6669453069023,-0.0,31.2466670528,0.0,-0.0,-0.0,0.0,0.0,2025-10-28 20:00:00
28.037146381932025,177.82720324814903,-0.0,28.0371463819,0.0,-0.0,-0.0,0.0,0.0,2025-10-28 21:00:00
24.325229490161004,130.5379746835443,-0.0,24.325229490199998,0.0,-0.0,-0.0,0.0,0.0,2025-10-28 22:00:00
20.95141442307693,101.80320038213516,-0.0,20.9514144231,0.0,-0.0,-0.0,0.0,0.0,2025-10-28 23:00:00
18.133993819320217,111.81932171005494,-0.0,18.1339938193,0.0,-0.0,-0.0,0.0,0.0,2025-10-29 00:00:00
31.24888761627907,106.23656556006688,-0.0,31.248887616299996,0.0,-0.0,-0.0,0.0,0.0,2025-10-29 01:00:00
14.140560362254025,116.9094817291617,-0.0,14.1405603623,0.0,-0.0,-0.0,0.0,0.0,2025-10-29 02:00:00
13.71151343023256,156.64556962025316,-0.0,13.7115134302,0.0,-0.0,-0.0,0.0,0.0,2025-10-29 03:00:00
14.179013922182468,232.3411750656795,-0.0,14.1790139222,0.0,-0.0,-0.0,0.0,0.0,2025-10-29 04:00:00
16.34259309928444,237.92393121566755,-0.0,16.3425930993,0.0,-0.0,-0.0,0.0,0.0,2025-10-29 05:00:00
21.55891638193202,229.54979699068545,-0.0,21.558916381899998,0.0,-0.0,-0.0,0.0,0.0,2025-10-29 06:00:00
28.6154913059034,223.80284213040363,-0.0,28.6154913059,0.0,-0.0,-0.0,0.0,0.0,2025-10-29 07:00:00
33.64871683363148,211.4879388583712,7.3271276084700006,26.321589225129998,0.0,7.3271276084700006,7.3271276084700006,0.0,0.0,2025-10-29 08:00:00
36.33346858228981,203.7705994745641,20.9340779925,15.3993905898,0.0,20.9340779925,20.9340779925,0.0,0.0,2025-10-29 09:00:00
38.08414972271914,196.5458562216384,28.5056081754,9.578541547300004,0.0,28.5056081754,28.5056081754,0.0,0.0,2025-10-29 10:00:00
38.60514711091234,192.76928588488173,34.2971530512,4.307994059699998,0.0,34.2971530512,34.2971530512,0.0,0.0,2025-10-29 11:00:00
37.60834462432916,190.1421065201815,36.360377170199996,1.2479674541000032,0.0,36.360377170199996,36.360377170199996,0.0,0.0,2025-10-29 12:00:00
36.82640283542039,189.9779078098877,36.3942106096,0.4321922258000016,0.0,36.3942106096,36.3942106096,0.0,0.0,2025-10-29 13:00:00
37.10163906976744,195.7248626701696,30.5625256017,6.539113468099999,0.0,30.5625256017,30.5625256017,0.0,0.0,2025-10-29 14:00:00
41.02687365831843,206.06938141867687,22.2733071398,18.7535665185,0.0,22.2733071398,22.2733071398,0.0,0.0,2025-10-29 15:00:00
51.859487012522365,216.5780988774779,7.74186199406,44.117625018439995,0.0,7.74186199406,7.74186199406,0.0,0.0,2025-10-29 16:00:00
50.81701125670841,226.1016240745164,-0.0,50.8170112567,0.0,-0.0,-0.0,0.0,0.0,2025-10-29 17:00:00
43.06978736135957,232.50537377597325,-0.0,43.069787361399996,0.0,-0.0,-0.0,0.0,0.0,2025-10-29 18:00:00
37.43660294275492,230.53498925244807,-0.0,37.4366029428,0.0,-0.0,-0.0,0.0,0.0,2025-10-29 19:00:00
32.61713137298748,210.6669453069023,-0.0,32.617131373,0.0,-0.0,-0.0,0.0,0.0,2025-10-29 20:00:00
26.88097042486584,177.9914019584428,-0.0,26.880970424900003,0.0,-0.0,-0.0,0.0,0.0,2025-10-29 21:00:00
21.579757298747765,130.70217339383808,-0.0,21.5797572987,0.0,-0.0,-0.0,0.0,0.0,2025-10-29 22:00:00
18.04916050089445,99.66861714831622,-0.0,18.0491605009,0.0,-0.0,-0.0,0.0,0.0,2025-10-29 23:00:00
15.976612768336317,109.19214234535468,-0.0,15.9766127683,0.0,-0.0,-0.0,0.0,0.0,2025-10-30 00:00:00
14.639647580500894,103.93778361595412,-0.0,14.639647580499998,0.0,-0.0,-0.0,0.0,0.0,2025-10-30 01:00:00
13.81168067978533,114.28230236446144,-0.0,13.8116806798,0.0,-0.0,-0.0,0.0,0.0,2025-10-30 02:00:00
13.610745362254026,153.36159541437783,-0.0,13.6107453623,0.0,-0.0,-0.0,0.0,0.0,2025-10-30 03:00:00
14.925966855992842,227.57941246716027,-0.0,14.925966856,0.0,-0.0,-0.0,0.0,0.0,2025-10-30 04:00:00
19.520785760286227,233.49056603773585,-0.0,19.520785760299997,0.0,-0.0,-0.0,0.0,0.0,2025-10-30 05:00:00
23.48657935599284,225.1164318127537,-0.0,23.486579356,0.0,-0.0,-0.0,0.0,0.0,2025-10-30 06:00:00
23.877659906082293,219.20527824217817,-0.0,23.8776599061,0.0,-0.0,-0.0,0.0,0.0,2025-10-30 07:00:00
24.056050881037567,207.2187723907332,7.168867120360001,16.887183760640003,0.0,7.168867120360001,7.168867120360001,0.0,0.0,2025-10-30 08:00:00
24.114190062611804,199.5014330069262,20.9444264975,3.169763565099997,0.0,20.9444264975,20.9444264975,0.0,0.0,2025-10-30 09:00:00
24.72551063506261,192.44088846429423,28.259947558100002,-0.0,3.357715076850001,24.7255106351,24.72551063506261,3.357715076850001,3.73902298012041e-11,2025-10-30 10:00:00
25.35119757155635,188.8285168378314,31.158917525899998,-0.0,5.5173339565849995,25.3511975716,25.35119757155635,5.5173339565849995,4.3645642655576466e-11,2025-10-30 11:00:00
25.4141106842576,186.0371387628373,37.055975855300005,-0.0,11.059771912450001,25.4141106843,25.4141106842576,11.059771912450001,4.2396641752873165e-11,2025-10-30 12:00:00
26.160830138640428,185.8729400525436,39.5148059535,-0.0,12.686277024155002,26.160830138599998,26.160830138599998,12.686277024155002,0.0,2025-10-30 13:00:00
28.19262582289803,191.45569620253164,34.7638082741,-0.0,6.242623328639999,28.192625822900002,28.19262582289803,6.242623328639999,1.970645868709653e-12,2025-10-30 14:00:00
35.41298435152057,201.6360162407452,23.365018813200003,12.047965538299996,0.0,23.365018813200003,23.365018813200003,0.0,0.0,2025-10-30 15:00:00
49.64431242397138,211.81633627895863,8.679460501340001,40.96485192266,0.0,8.679460501340001,8.679460501340001,0.0,0.0,2025-10-30 16:00:00
49.30615894454382,221.17566276570332,-0.0,49.306158944500005,0.0,-0.0,-0.0,0.0,0.0,2025-10-30 17:00:00
42.16907597495528,227.74361117745403,-0.0,42.169075975,0.0,-0.0,-0.0,0.0,0.0,2025-10-30 18:00:00
36.89922450805009,225.7732266539288,-0.0,36.8992245081,0.0,-0.0,-0.0,0.0,0.0,2025-10-30 19:00:00
32.39551172629695,206.5619775495581,-0.0,32.3955117263,0.0,-0.0,-0.0,0.0,0.0,2025-10-30 20:00:00
26.79316902504473,174.37903033197995,-0.0,26.793169025,0.0,-0.0,-0.0,0.0,0.0,2025-10-30 21:00:00
21.31751533094813,128.07499402913783,-0.0,21.3175153309,0.0,-0.0,-0.0,0.0,0.0,2025-10-30 22:00:00
17.660996082289802,96.22044423214712,-0.0,17.6609960823,0.0,-0.0,-0.0,0.0,0.0,2025-10-30 23:00:00
15.502927137745976,104.43037974683546,-0.0,15.5029271377,0.0,-0.0,-0.0,0.0,0.0,2025-10-31 00:00:00
14.391563439177103,99.50441843802246,-0.0,14.3915634392,0.0,-0.0,-0.0,0.0,0.0,2025-10-31 01:00:00
13.893134007155636,109.5205397659422,-0.0,13.8931340072,0.0,-0.0,-0.0,0.0,0.0,2025-10-31 02:00:00
13.73794796511628,147.94303797468356,-0.0,13.7379479651,0.0,-0.0,-0.0,0.0,0.0,2025-10-31 03:00:00
14.90120504919499,220.1904705039408,-0.0,14.901205049200001,0.0,-0.0,-0.0,0.0,0.0,2025-10-31 04:00:00
19.38052631484794,227.9078098877478,-0.0,19.3805263148,0.0,-0.0,-0.0,0.0,0.0,2025-10-31 05:00:00
23.42164019677996,218.5484834010031,-0.0,23.421640196800002,0.0,-0.0,-0.0,0.0,0.0,2025-10-31 06:00:00
24.058942661001787,212.47313112013376,-0.0,24.058942661,0.0,-0.0,-0.0,0.0,0.0,2025-10-31 07:00:00
24.40961754472272,200.6508239789825,7.60968558255,16.799931962149998,0.0,7.60968558255,7.60968558255,0.0,0.0,2025-10-31 08:00:00
24.578710371198568,193.0976833054693,20.4288310033,4.149879367900001,0.0,20.4288310033,20.4288310033,0.0,0.0,2025-10-31 09:00:00
25.20443789355993,186.0371387628373,9.065274122369999,16.139163771230002,0.0,9.065274122369999,9.065274122369999,0.0,0.0,2025-10-31 10:00:00
26.00216035330948,182.42476713637447,41.288765441799995,-0.0,14.522274834074997,26.0021603533,26.0021603533,14.522274834074997,0.0,2025-10-31 11:00:00
26.09148335420394,179.63338906138048,46.155380814299996,-0.0,19.060702587094998,26.0914833542,26.0914833542,19.060702587094998,0.0,2025-10-31 12:00:00
27.21196588550984,178.97659422020538,42.11082659309999,-0.0,14.153917672219995,27.2119658855,27.2119658855,14.153917672219995,0.0,2025-10-31 13:00:00
29.73615152951699,184.06675423931216,30.8303079798,-0.0,1.0394486277849977,29.736151529500003,29.736151529500003,1.0394486277849977,0.0,2025-10-31 14:00:00
36.20589140876565,193.4260807260568,20.2133224318,15.992568976999998,0.0,20.2133224318,20.2133224318,0.0,0.0,2025-10-31 15:00:00
47.13701256708408,203.27800334368283,7.1157479323,40.0212646348,0.0,7.1157479323,7.1157479323,0.0,0.0,2025-10-31 16:00:00
46.91009447227192,212.80152854072128,-0.0,46.910094472299996,0.0,-0.0,-0.0,0.0,0.0,2025-10-31 17:00:00
40.76708883273702,219.5336756627657,-0.0,40.7670888327,0.0,-0.0,-0.0,0.0,0.0,2025-10-31 18:00:00
36.37420365831842,218.2200859804156,-0.0,36.3742036583,0.0,-0.0,-0.0,0.0,0.0,2025-10-31 19:00:00
32.5139848255814,200.32242655839505,-0.0,32.5139848256,0.0,-0.0,-0.0,0.0,0.0,2025-10-31 20:00:00
27.09447614490161,168.7962741819919,-0.0,27.0944761449,0.0,-0.0,-0.0,0.0,0.0,2025-10-31 21:00:00
21.78769980322004,123.64162885120612,-0.0,21.7876998032,0.0,-0.0,-0.0,0.0,0.0,2025-10-31 22:00:00
18.675243703041147,93.4290661571531,-0.0,18.675243703,0.0,-0.0,-0.0,0.0,0.0,2025-10-31 23:00:00
16.15514217799642,100.48961069978505,-0.0,16.155142178000002,0.0,-0.0,-0.0,0.0,0.0,2025-11-01 00:00:00
14.84773132379249,95.8920468115596,-0.0,14.8477313238,0.0,-0.0,-0.0,0.0,0.0,2025-11-01 01:00:00
14.074050456171737,105.5797707188918,-0.0,14.0740504562,0.0,-0.0,-0.0,0.0,0.0,2025-11-01 02:00:00
13.915636730769233,143.83807021733938,-0.0,13.915636730800001,0.0,-0.0,-0.0,0.0,0.0,2025-11-01 03:00:00
15.148874329159211,214.7719130642465,-0.0,15.1488743292,0.0,-0.0,-0.0,0.0,0.0,2025-11-01 04:00:00
